TransId,ItemCode,Price,Quantity,UOFM
542010-10029,3-C2786A,50,202,Each
542010-10029,3-B3813A,80,100,Each
542010-10029,24X IDE,80,1,Each
542010-10029,24X IDE,80,10,Each
542010-10410,24X IDE,80,10,Each
542010-10359,1-A3261A,100,1,Each
542010-113521,1-A3261A,100,1,Each
542010-14134,1-A3261A,100,1,Each
542010-14343,1-A3483A,80,1,Each
542010-14343,128 SDRAM,80,1,Each
542010-143633,3-B3897A,100,3,Each
542010-143633,3-D2657A,100,6,Each
542010-143731,VMSY-FG2-0001,100,6,Each
542010-143731,WIRE-MCD-0001,190,5,Each
542010-143956,WIRE-MCD-0001,0.35,5,Each
542010-143956,WIRE-SCD-0001,0.35,5,Each
542010-144357,24X IDE,80,1,Each
542010-145522,3-A2990A,100,1,Each
542010-145522,3-A3542A,100,1,Each
542010-151733,256 SDRAM,100,1,Each
542010-151733,BARREL ASSEMBLY,10,23,Each
542010-151733,HDWR-CIM-0001,100,2,Each
542010-15597,1-A3483A,100,1,Each
542010-16740,128 SDRAM,80,1,Each
542010-16740,3-A2990A,100,4,Each
542010-16740,3-A3542A,100,3,Each
542010-16466,24X IDE,80,1,Case
542010-16466,3-A2440A,100,1,Each
